number,max,montee,decente,bin,dec

4.0,4.0,3.0,3.0,0.0,0.0

2.0,4.0,3.0,1.0,0.0,0.0

8.0,8.0,3.0,7.0,10.0,2.0

16.0,16.0,3.0,15.0,111.0,7.0

12.0,16.0,21.0,29.0,100.0,4.0

10.0,16.0,14.0,20.0,101.0,5.0

6.0,16.0,21.0,23.0,11.0,3.0

5.0,16.0,14.0,15.0,11.0,3.0

3.0,16.0,21.0,20.0,0.0,0.0

20.0,20.0,14.0,30.0,1.0,1.0

24.0,24.0,21.0,41.0,0.0,0.0

32.0,32.0,3.0,31.0,0.0,0.0

40.0,40.0,14.0,50.0,1.0,1.0

26.0,40.0,41.0,63.0,11.0,3.0

13.0,40.0,41.0,50.0,100.0,4.0

48.0,48.0,21.0,65.0,10.0,2.0

52.0,52.0,41.0,89.0,1100.0,12.0

44.0,52.0,99.0,139.0,0.0,0.0

36.0,52.0,133.0,165.0,11.0,3.0

34.0,52.0,76.0,106.0,0.0,0.0

28.0,52.0,114.0,138.0,10.0,2.0

22.0,52.0,99.0,117.0,0.0,0.0

18.0,52.0,133.0,147.0,110.0,6.0

17.0,52.0,76.0,89.0,110.0,6.0

14.0,52.0,114.0,124.0,100.0,4.0

11.0,52.0,99.0,106.0,101.0,5.0

9.0,52.0,133.0,138.0,10.0,2.0

7.0,52.0,114.0,117.0,10.0,2.0

56.0,56.0,114.0,166.0,1111.0,15.0

64.0,64.0,3.0,63.0,1100.0,12.0

42.0,64.0,46.0,84.0,0.0,0.0

21.0,64.0,46.0,63.0,1.0,1.0

68.0,68.0,76.0,140.0,1110.0,14.0

72.0,72.0,133.0,201.0,1000.0,8.0

80.0,80.0,14.0,90.0,1001.0,9.0

84.0,84.0,46.0,126.0,1000.0,8.0

88.0,88.0,99.0,183.0,1010.0,10.0

76.0,88.0,197.0,269.0,1011.0,11.0

58.0,88.0,158.0,212.0,1110.0,14.0

50.0,88.0,248.0,294.0,1101.0,13.0

38.0,88.0,197.0,231.0,10.0,2.0

29.0,88.0,158.0,183.0,10.0,2.0

25.0,88.0,248.0,269.0,11.0,3.0

19.0,88.0,197.0,212.0,110.0,6.0

96.0,96.0,21.0,113.0,1011.0,11.0

100.0,100.0,248.0,344.0,10101.0,21.0

66.0,100.0,315.0,377.0,1111.0,15.0

33.0,100.0,315.0,344.0,0.0,0.0

104.0,104.0,41.0,141.0,10100.0,20.0

112.0,112.0,114.0,222.0,10100.0,20.0

74.0,112.0,189.0,259.0,1000.0,8.0

37.0,112.0,189.0,222.0,10.0,2.0

116.0,116.0,158.0,270.0,10111.0,23.0

128.0,128.0,3.0,127.0,10010.0,18.0

132.0,132.0,315.0,443.0,10000.0,16.0

136.0,136.0,76.0,208.0,10011.0,19.0

90.0,136.0,167.0,253.0,1001.0,9.0

45.0,136.0,167.0,208.0,11.0,3.0

144.0,144.0,133.0,273.0,10000.0,16.0

148.0,148.0,189.0,333.0,10010.0,18.0

98.0,148.0,288.0,382.0,1010.0,10.0

49.0,148.0,288.0,333.0,10.0,2.0

152.0,152.0,197.0,345.0,11100.0,28.0

160.0,160.0,14.0,170.0,11101.0,29.0

140.0,160.0,192.0,328.0,10001.0,17.0

120.0,160.0,270.0,386.0,10001.0,17.0

106.0,160.0,121.0,223.0,10111.0,23.0

92.0,160.0,239.0,327.0,1000.0,8.0

70.0,160.0,192.0,258.0,1001.0,9.0

60.0,160.0,270.0,326.0,1101.0,13.0

53.0,160.0,121.0,170.0,1100.0,12.0

46.0,160.0,239.0,281.0,11.0,3.0

35.0,160.0,192.0,223.0,11.0,3.0

30.0,160.0,270.0,296.0,1.0,1.0

23.0,160.0,239.0,258.0,0.0,0.0

15.0,160.0,270.0,281.0,111.0,7.0

168.0,168.0,46.0,210.0,11110.0,30.0

176.0,176.0,99.0,271.0,11011.0,27.0

180.0,180.0,167.0,343.0,11001.0,25.0

184.0,184.0,239.0,419.0,11000.0,24.0

122.0,184.0,362.0,480.0,10000.0,16.0

61.0,184.0,362.0,419.0,1101.0,13.0

192.0,192.0,21.0,209.0,11000.0,24.0

196.0,196.0,288.0,480.0,11011.0,27.0

172.0,196.0,506.0,674.0,11000.0,24.0

130.0,196.0,419.0,545.0,10001.0,17.0

114.0,196.0,621.0,731.0,10100.0,20.0

86.0,196.0,506.0,588.0,1011.0,11.0

65.0,196.0,419.0,480.0,1111.0,15.0

57.0,196.0,621.0,674.0,1110.0,14.0

43.0,196.0,506.0,545.0,0.0,0.0

200.0,200.0,248.0,444.0,101.0,5.0

138.0,208.0,180.0,314.0,10010.0,18.0

69.0,208.0,180.0,245.0,1110.0,14.0

154.0,232.0,313.0,463.0,11100.0,28.0

102.0,232.0,416.0,514.0,10100.0,20.0

77.0,232.0,313.0,386.0,1010.0,10.0

51.0,232.0,416.0,463.0,1101.0,13.0

162.0,244.0,525.0,683.0,11100.0,28.0

